,Name,Transmission type,Variant,Mileage,Owned,Fuel type,City,Price
59,2017 Maruti Vitara Brezza,Manual,VDI OPT Manual,"79,494 km",1st Owner,Diesel,Rohtak,"₹7,10,399"
60,2019 Renault Kwid,Manual,RXL Manual,"3,946 km",1st Owner,Petrol,Rohtak,"₹3,53,499"
61,2015 Maruti Swift,Manual,LDI O Manual,"68,276 km",1st Owner,Diesel,Rohtak,"₹4,22,699"
62,2017 Maruti Baleno,Automatic,DELTA 1.2 K12 AMT Automatic,"23,537 km",1st Owner,Petrol,Rohtak,"₹6,32,899"
63,2017 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"20,990 km",1st Owner,Petrol,Rohtak,"₹6,26,699"
64,2017 Hyundai Grand i10,Manual,SPORTZ 1.2 KAPPA VTVT Manual,"60,982 km",1st Owner,Petrol,Rohtak,"₹5,34,799"
65,2019 Maruti Vitara Brezza,Manual,VDI Manual,"25,374 km",1st Owner,Diesel,Rohtak,"₹8,09,599"
66,2020 Maruti S PRESSO,Manual,VXI Manual,"6,030 km",1st Owner,Petrol,Rohtak,"₹4,33,399"
67,2013 Maruti Swift Dzire,Manual,VDI BS IV Manual,"40,066 km",1st Owner,Diesel,Rohtak,"₹4,04,499"
68,2018 Maruti Eeco,Manual,7 STR Manual,"18,876 km",2nd Owner,Petrol,Rohtak,"₹3,43,899"
69,2013 Maruti Swift Dzire,Manual,VDI BS IV Manual,"34,527 km",1st Owner,Diesel,Rohtak,"₹3,65,399"
70,2015 Maruti Swift,Manual,VDI ABS Manual,"27,868 km",1st Owner,Diesel,Rohtak,"₹4,56,499"
71,2012 Maruti Swift Dzire,Manual,VDI BS IV Manual,"49,310 km",1st Owner,Diesel,Rohtak,"₹3,68,699"
72,2016 Maruti Alto 800,Manual,VXI Manual,"47,862 km",1st Owner,Petrol,Rohtak,"₹3,19,099"
73,2017 Maruti Alto 800,Manual,LXI Manual,"27,919 km",2nd Owner,Petrol,Rohtak,"₹2,91,999"
74,2014 Maruti Swift,Manual,VDI Manual,"1,58,233 km",1st Owner,Diesel,Rohtak,"₹3,39,099"
75,2015 Maruti Swift,Manual,VDI ABS Manual,"1,64,520 km",1st Owner,Diesel,Rohtak,"₹4,05,199"
76,2012 Maruti Swift Dzire,Manual,VDI BS IV Manual,"77,730 km",1st Owner,Diesel,Rohtak,"₹4,36,399"
77,2019 Maruti Alto K10,Manual,VXI Manual,"18,134 km",1st Owner,Petrol,Rohtak,"₹3,70,299"
78,2015 Hyundai Grand i10,Manual,ASTA 1.2 VTVT Manual,"34,300 km",1st Owner,Petrol,Rohtak,"₹4,89,099"
79,2017 Maruti Alto K10,Manual,VXI Manual,"8,841 km",1st Owner,Petrol,Rohtak,"₹3,12,899"
80,2021 Maruti S PRESSO,Manual,VXI PLUS Manual,"1,839 km",1st Owner,Petrol,Rohtak,"₹4,64,099"
81,2019 Maruti Alto K10,Manual,VXI Manual,"8,574 km",1st Owner,Petrol,Rohtak,"₹4,24,599"
82,2019 Maruti Eeco,Manual,5 STR WITH AC PLUSHTR Manual,"8,579 km",1st Owner,Petrol,Rohtak,"₹4,45,599"
83,2018 Maruti Alto 800,Manual,LXI Manual,"11,064 km",1st Owner,Petrol,Rohtak,"₹3,30,799"
84,2014 Renault Duster,Manual,85 PS RXE DIESEL ADVENTURE Manual,"89,243 km",1st Owner,Diesel,Rohtak,"₹4,93,499"
85,2011 Hyundai i20,Manual,MAGNA O 1.2 Manual,"44,007 km",1st Owner,Petrol,Rohtak,"₹2,58,999"
86,2011 Hyundai i10,Manual,ERA 1.1 IRDE Manual,"55,623 km",1st Owner,Petrol,Rohtak,"₹1,88,799"
87,2016 Hyundai Grand i10,Manual,MAGNA 1.2 KAPPA VTVT Manual,"26,951 km",1st Owner,Petrol,Rohtak,"₹4,15,399"
88,2009 Maruti Wagon R,Manual,LXI MINOR Manual,"36,035 km",1st Owner,Petrol,Rohtak,"₹1,48,199"
89,2016 Maruti Ciaz,Manual,VDI+ SHVS Manual,"41,484 km",1st Owner,Diesel,Rohtak,"₹5,48,199"
90,2015 Maruti Ertiga,Manual,ZDI Manual,"1,16,238 km",1st Owner,Diesel,Rohtak,"₹4,97,399"
91,2020 Maruti Alto,Manual,LXI Manual,"19,593 km",1st Owner,Petrol + CNG,Rohtak,"₹3,54,799"
92,2009 Maruti Alto,Manual,LXI Manual,"1,19,227 km",1st Owner,Petrol,Rohtak,"₹1,26,399"
93,2017 Honda WR-V,Manual,1.5 i-DTEC S MT Manual,"79,597 km",1st Owner,Diesel,Rohtak,"₹5,61,099"
94,2013 Hyundai Eon,Manual,D LITE PLUS Manual,"1,06,269 km",1st Owner,Petrol,Rohtak,"₹1,93,699"
95,2016 Maruti Swift,Manual,LXI OPT Manual,"23,746 km",1st Owner,Petrol,Rohtak,"₹4,10,899"
96,2015 Mahindra TUV300,Automatic,T8 AT Automatic,"26,118 km",2nd Owner,Diesel,Rohtak,"₹5,37,999"
97,2010 Maruti A Star,Manual,VXI Manual,"34,181 km",1st Owner,Petrol + CNG,Rohtak,"₹1,90,699"
98,2020 Hyundai VENUE,Manual,E MT 1.2 KAPPA Manual,"7,177 km",1st Owner,Petrol,Rohtak,"₹7,45,199"
99,2020 Maruti Ertiga,Manual,VXI SMART HYBRID Manual,"19,879 km",1st Owner,Petrol,Rohtak,"₹8,23,199"
100,2017 Maruti Ciaz,Manual,SIGMA 1.4 VVT Manual,"61,641 km",1st Owner,Petrol,Rohtak,"₹6,34,599"
101,2015 Hyundai i20 Active,Manual,1.2 SX Manual,"60,713 km",1st Owner,Petrol,Rohtak,"₹5,01,999"
102,2016 Hyundai Creta,Manual,1.6 BASE Manual,"91,156 km",1st Owner,Petrol + CNG,Rohtak,"₹6,54,399"
103,2015 Hyundai Creta,,1.4 S CRDI,"33,068 km",1st Owner,Diesel,Rohtak,"₹7,58,699"
104,2019 Tata NEXON,Manual,XM 1.2 Manual,"31,201 km",1st Owner,Petrol,Rohtak,"₹6,46,699"
105,2020 Toyota Glanza,Manual,G MT PETROL Manual,"13,720 km",1st Owner,Petrol,Rohtak,"₹7,16,599"
106,2020 Maruti Swift,Manual,LXI Manual,"23,940 km",1st Owner,Petrol,Rohtak,"₹4,90,899"
107,2018 Volkswagen Polo,Manual,COMFORTLINE 1.0 PETROL Manual,"23,826 km",1st Owner,Petrol,Rohtak,"₹5,27,699"
108,2017 Hyundai Elite i20,Manual,SPORTZ 1.2 Manual,"33,827 km",1st Owner,Petrol,Rohtak,"₹4,92,699"
109,2018 Honda City,Manual,V MT PETROL Manual,"55,835 km",1st Owner,Petrol,Rohtak,"₹7,61,399"
110,2014 Maruti Ertiga,Manual,VDI ABS Manual,"78,074 km",1st Owner,Diesel,Rohtak,"₹4,36,499"
111,2017 Tata TIGOR,Manual,XZ 1.2 REVOTRON OPT Manual,"13,855 km",1st Owner,Petrol,Rohtak,"₹4,81,699"
112,2020 Maruti New Wagon-R,Manual,1.0 LXI (O) Manual,"8,364 km",2nd Owner,Petrol,Rohtak,"₹4,57,799"
113,2019 Honda Amaze,Manual,1.2 SMT I VTEC Manual,"17,632 km",1st Owner,Petrol,Rohtak,"₹5,93,099"
114,2012 Ford Fiesta,Manual,TITANIUM DIESEL Manual,"68,356 km",2nd Owner,Diesel,Rohtak,"₹2,85,399"
115,2016 Volkswagen Vento,Manual,COMFORTLINE MT PETROL Manual,"19,369 km",1st Owner,Petrol,Rohtak,"₹5,93,799"
116,2013 Toyota Innova,Manual,2.5 GX 7 STR BS IV Manual,"74,083 km",1st Owner,Diesel,Rohtak,"₹5,86,799"
117,2018 Renault Captur,Manual,RXT PETROL Manual,"27,394 km",2nd Owner,Petrol,Rohtak,"₹5,83,899"
118,2020 Hyundai GRAND I10 NIOS,Manual,MAGNA 1.2 MT Manual,"4,955 km",1st Owner,Petrol,Rohtak,"₹5,67,299"
119,2020 Maruti S PRESSO,Manual,VXI Manual,"19,386 km",1st Owner,Petrol,Rohtak,"₹4,04,299"
120,2017 Toyota Innova Crysta,Manual,2.4 GX 7 STR Manual,"89,781 km",1st Owner,Diesel,Rohtak,"₹12,26,699"
121,2017 Hyundai Elite i20,Manual,SPORTZ 1.2 Manual,"64,918 km",1st Owner,Petrol,Rohtak,"₹5,16,099"
122,2020 Maruti Alto,Manual,LXI Manual,"11,558 km",1st Owner,Petrol,Rohtak,"₹3,30,699"
123,2013 Maruti Ertiga,Manual,VDI ABS Manual,"27,420 km",1st Owner,Diesel,Rohtak,"₹5,41,699"
124,2015 Hyundai Creta,Manual,1.6 S Manual,"22,587 km",1st Owner,Petrol,Rohtak,"₹8,19,799"
125,2015 Hyundai Elite i20,Manual,ASTA 1.2 Manual,"89,320 km",1st Owner,Petrol,Rohtak,"₹5,25,799"
126,2014 Hyundai Santro Xing,Manual,GL PLUS Manual,"58,661 km",1st Owner,Petrol,Rohtak,"₹2,80,299"
127,2018 Tata Tiago,Manual,XE 1.2 REVOTRON Manual,"12,981 km",1st Owner,Petrol,Rohtak,"₹3,62,099"
128,2020 Maruti New Wagon-R,Manual,VXI 1.0 Manual,"14,108 km",1st Owner,Petrol,Rohtak,"₹4,82,499"
129,2020 Maruti New Wagon-R,Manual,LXI 1.0 L Manual,"6,879 km",1st Owner,Petrol,Rohtak,"₹5,09,199"
130,2014 Hyundai Elite i20,Manual,ASTA 1.2 Manual,"59,832 km",1st Owner,Petrol,Rohtak,"₹4,78,099"
131,2016 Maruti Ertiga,Manual,VDI SHVS Manual,"52,500 km",1st Owner,Diesel,Rohtak,"₹6,28,599"
132,2016 Maruti Ciaz,Manual,VDI+ SHVS Manual,"35,662 km",1st Owner,Diesel,Rohtak,"₹5,48,099"
133,2016 Ford Figo Aspire,Manual,1.2 TREND PETROL Manual,"19,532 km",1st Owner,Petrol,Rohtak,"₹4,01,699"
134,2016 Maruti Celerio,Manual,VXI Manual,"68,278 km",1st Owner,Petrol + CNG,Rohtak,"₹3,65,499"
135,2020 Maruti New Wagon-R,Manual,VXI 1.0 Manual,"3,865 km",1st Owner,Petrol,Rohtak,"₹4,88,899"
136,2018 Tata Tiago,Manual,XT 1.2 REVOTRON Manual,"32,270 km",2nd Owner,Petrol,Rohtak,"₹3,80,599"
137,2016 Hyundai Elite i20,Manual,MAGNA 1.2 Manual,"31,131 km",1st Owner,Petrol,Rohtak,"₹4,97,699"
138,2013 Toyota Corolla Altis,Manual,D 4D G Manual,"1,29,508 km",1st Owner,Diesel,Rohtak,"₹4,17,499"
139,2014 Hyundai Grand i10,Manual,MAGNA 1.2 VTVT Manual,"16,795 km",1st Owner,Petrol,Rohtak,"₹3,78,699"
140,2019 Maruti Ertiga,Manual,VXI SMART HYBRID Manual,"11,135 km",1st Owner,Petrol,Rohtak,"₹8,21,699"
141,2013 Hyundai Verna,Manual,FLUIDIC 1.6 EX CRDI Manual,"1,04,218 km",1st Owner,Diesel,Rohtak,"₹4,21,199"
142,2018 Ford Figo Aspire,Manual,1.2 TITANIUM PETROL Manual,"6,071 km",1st Owner,Petrol,Rohtak,"₹5,56,599"
143,2018 Maruti Celerio X,Automatic,ZXI OPT AMT Automatic,"26,410 km",1st Owner,Petrol,Rohtak,"₹4,63,099"
144,2016 Maruti Ciaz,Manual,VXI OPT Manual,"76,459 km",2nd Owner,Petrol,Rohtak,"₹5,59,999"
145,2015 Honda Amaze,Manual,1.2 SMT I VTEC Manual,"1,31,691 km",1st Owner,Petrol,Rohtak,"₹3,30,199"
146,2015 Hyundai Creta,Manual,1.6 SX PLUS DIESEL Manual,"80,045 km",2nd Owner,Diesel,Rohtak,"₹7,76,799"
147,2017 Maruti Ciaz,Manual,DELTA 1.3 DDIS SHVS Manual,"65,308 km",1st Owner,Diesel,Rohtak,"₹6,00,899"
148,2017 Skoda Rapid,Automatic,1.5 TDI AT STYLE PLUS Automatic,"1,38,467 km",1st Owner,Diesel,Rohtak,"₹6,10,499"
149,2016 Hyundai Elite i20,Manual,SPORTZ 1.2 Manual,"24,584 km",1st Owner,Petrol,Rohtak,"₹5,32,899"
150,2016 Maruti Ciaz,Manual,VXI PLUS Manual,"32,386 km",1st Owner,Petrol,Rohtak,"₹6,17,399"
151,2017 Maruti Swift,Manual,LXI OPT Manual,"1,00,691 km",1st Owner,Petrol,Rohtak,"₹3,85,999"
152,2019 Hyundai VENUE,Manual,1.0L Turbo GDI SX(O) MT Manual,"13,991 km",1st Owner,Petrol,Rohtak,"₹9,18,599"
153,2016 Maruti Celerio,Manual,VXI CNG Manual,"72,499 km",1st Owner,Petrol + CNG,Rohtak,"₹3,86,099"
154,2017 Maruti Baleno,Manual,SIGMA 1.2 K12 Manual,"23,400 km",1st Owner,Petrol,Rohtak,"₹4,83,199"
155,2019 Hyundai Creta,Automatic,1.6 VTVT SX AUTO Automatic,"25,139 km",1st Owner,Petrol,Rohtak,"₹12,65,799"
156,2015 Honda Amaze,Manual,1.2 SMT I VTEC Manual,"65,067 km",1st Owner,Petrol,Rohtak,"₹3,66,099"
157,2013 Toyota Innova,Manual,2.5 VX 7 STR BS IV Manual,"1,73,749 km",1st Owner,Diesel,Rohtak,"₹6,25,399"
158,2015 Maruti Swift Dzire,Manual,LDI BS IV Manual,"36,616 km",1st Owner,Diesel,Rohtak,"₹3,79,699"
159,2015 Honda Amaze,Manual,1.2 VXMT I VTEC Manual,"81,579 km",2nd Owner,Petrol,Rohtak,"₹3,96,099"
160,2016 Hyundai Creta,Manual,1.6 SX AT CRDI Manual,"88,992 km",1st Owner,Diesel,Rohtak,"₹8,43,299"
161,2009 Maruti Ritz,Manual,VXI Manual,"1,19,824 km",1st Owner,Petrol,Rohtak,"₹1,69,099"
162,2016 Ford Figo Aspire,Manual,1.2 TREND PETROL Manual,"31,995 km",1st Owner,Petrol,Rohtak,"₹4,49,199"
163,2015 Toyota Etios,Manual,VD 1.4 Manual,"62,623 km",1st Owner,Diesel,Rohtak,"₹4,96,099"
164,2019 Hyundai Creta,Automatic,1.6 VTVT SX AUTO Automatic,"9,627 km",1st Owner,Petrol,Rohtak,"₹13,57,099"
165,2014 Honda City,Manual,SV MT PETROL Manual,"1,24,523 km",2nd Owner,Petrol,Rohtak,"₹4,52,199"
166,2017 Hyundai Elite i20,Manual,SPORTZ 1.2 Manual,"47,400 km",1st Owner,Petrol,Rohtak,"₹5,57,399"
167,2018 Maruti Swift,Manual,LXI Manual,"17,906 km",1st Owner,Petrol,Rohtak,"₹4,65,799"
168,2015 Maruti Celerio,Automatic,VXI AMT Automatic,"40,994 km",2nd Owner,Petrol,Rohtak,"₹3,62,199"
169,2017 Maruti Vitara Brezza,Manual,ZDI Manual,"63,900 km",1st Owner,Diesel,Rohtak,"₹6,42,399"
170,2020 MG HECTOR,Manual,SHARP HYBIRD PETROL MT Manual,"3,094 km",1st Owner,Petrol,Rohtak,"₹17,37,599"
171,2016 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"40,727 km",1st Owner,Petrol,Rohtak,"₹5,03,299"
172,2013 Hyundai i20,Manual,SPORTZ 1.2 VTVT Manual,"43,949 km",1st Owner,Petrol,Rohtak,"₹3,51,899"
173,2016 Maruti Celerio,Manual,VXI Manual,"17,543 km",1st Owner,Petrol,Rohtak,"₹3,94,499"
174,2014 Toyota Fortuner,Manual,3.0 MT 4X2 Manual,"64,625 km",1st Owner,Diesel,Rohtak,"₹13,51,399"
175,2014 Honda Amaze,Manual,1.2 SMT I VTEC Manual,"60,697 km",1st Owner,Petrol,Rohtak,"₹3,33,199"
176,2017 Maruti Baleno,Manual,ALPHA DDIS 190 Manual,"76,285 km",2nd Owner,Diesel,Rohtak,"₹5,30,699"
177,2019 Maruti Baleno,Manual,SIGMA 1.2 K12 Manual,"4,396 km",1st Owner,Petrol,Rohtak,"₹5,59,599"
178,2014 Hyundai Verna,Manual,FLUIDIC 1.4 CRDI CX Manual,"74,650 km",1st Owner,Diesel,Rohtak,"₹5,63,999"
179,2014 Ford Ecosport,Manual,1.5 TREND TDCI Manual,"52,406 km",1st Owner,Diesel,Rohtak,"₹4,97,399"
180,2017 Maruti Baleno,Manual,ZETA DDIS 190 Manual,"69,954 km",1st Owner,Diesel,Rohtak,"₹5,19,799"
181,2015 Ford Ecosport,Automatic,1.5 TITANIUM TI VCT AT Automatic,"55,859 km",1st Owner,Petrol,Rohtak,"₹5,64,899"
182,2012 Honda City,Manual,1.5 E MT PETROL Manual,"62,729 km",1st Owner,Petrol,Rohtak,"₹3,92,899"
183,2019 Maruti Baleno,Manual,ALPHA 1.2 K12 Manual,"23,498 km",1st Owner,Petrol,Rohtak,"₹6,92,299"
184,2017 Maruti Wagon R 1.0,Manual,VXI Manual,"24,768 km",2nd Owner,Petrol,Rohtak,"₹3,72,599"
185,2020 Maruti Baleno,Manual,ALPHA 1.2 K12 Manual,"15,096 km",1st Owner,Petrol,Rohtak,"₹6,82,399"
186,2020 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"8,206 km",1st Owner,Petrol,Rohtak,"₹6,73,999"
187,2016 Hyundai Elite i20,Manual,1.4 CRDI ASTA (O) Manual,"85,147 km",1st Owner,Diesel,Rohtak,"₹6,14,299"
188,2018 Maruti Swift,Manual,LXI Manual,"7,967 km",1st Owner,Petrol,Rohtak,"₹5,02,199"
189,2019 Maruti Vitara Brezza,Manual,VDI Manual,"52,300 km",1st Owner,Diesel,Rohtak,"₹7,14,199"
190,2019 Maruti Baleno,Manual,DELTA 1.2 K12 Manual,"29,074 km",1st Owner,Petrol,Rohtak,"₹6,15,999"
191,2015 Hyundai Eon,Manual,MAGNA PLUS Manual,"1,24,129 km",1st Owner,Petrol,Rohtak,"₹2,49,999"
192,2018 Ford Ecosport,Manual,1.5TITANIUM TDCI Manual,"38,471 km",1st Owner,Diesel,Rohtak,"₹7,79,799"
193,2011 Honda City,Manual,V MT PETROL Manual,"1,49,072 km",1st Owner,Petrol,Rohtak,"₹3,28,999"
194,2018 Ford Ecosport,Manual,1.5 TDCI TITANIUM PLUS Manual,"16,826 km",2nd Owner,Diesel,Rohtak,"₹7,70,299"
195,2018 Ford Ecosport,Manual,1.5 TDCI TITANIUM PLUS Manual,"40,788 km",1st Owner,Diesel,Rohtak,"₹8,03,199"
196,2018 Maruti Swift,Manual,VDI Manual,"37,926 km",1st Owner,Diesel,Rohtak,"₹5,63,099"
197,2018 Maruti Swift,Manual,VXI Manual,"51,789 km",1st Owner,Petrol,Rohtak,"₹5,20,599"
198,2019 Ford Ecosport,Manual,1.5TITANIUM TDCI Manual,"18,721 km",1st Owner,Diesel,Rohtak,"₹8,81,499"
199,2013 Hyundai i20,Manual,SPORTZ 1.2 VTVT Manual,"29,332 km",2nd Owner,Petrol,Rohtak,"₹3,89,799"
200,2014 Toyota Corolla Altis,Manual,D 4D J Manual,"1,03,033 km",1st Owner,Diesel,Rohtak,"₹7,41,199"
201,2018 Tata Tiago,Automatic,XZA 1.2 REVOTRON Automatic,"34,532 km",1st Owner,Petrol,Rohtak,"₹4,73,699"
202,2019 Tata Tiago,Manual,XZ 1.2 REVOTRON Manual,"16,558 km",1st Owner,Petrol,Rohtak,"₹4,73,099"
203,2014 Maruti Swift Dzire,Manual,VXI 1.2 BS IV Manual,"38,906 km",1st Owner,Petrol,Rohtak,"₹3,80,399"
204,2015 Maruti Swift,Manual,VDI ABS Manual,"89,196 km",1st Owner,Diesel,Rohtak,"₹3,85,999"
205,2017 Maruti Wagon R 1.0,Manual,VXI Manual,"4,956 km",1st Owner,Petrol,Rohtak,"₹4,02,699"
206,2020 Maruti S PRESSO,Manual,VXI Manual,"6,100 km",1st Owner,Petrol,Rohtak,"₹4,11,299"
207,2019 Maruti Vitara Brezza,Manual,VDI Manual,"38,597 km",1st Owner,Diesel,Rohtak,"₹7,62,899"
208,2017 Maruti Vitara Brezza,Manual,ZDI Manual,"35,429 km",1st Owner,Diesel,Rohtak,"₹7,45,399"
209,2013 Maruti Swift Dzire,Manual,VDI BS IV Manual,"66,341 km",1st Owner,Diesel,Rohtak,"₹3,72,999"
